sigla,estado,gentilico,gentilico2
AC,Acre,acriano,acreano
AL,Alagoas,alagoano
AP,Amapá,amapaense
AM,Amazonas,amazonense
BA,Bahia,baiano
CE,Ceará,cearense
DF,Distrito Federal,brasiliense
ES,Espírito Santo,capixaba,espírito-santense
GO,Goiás,goiano
MA,Maranhão,maranhense
MT,Mato Grosso,mato-grossense
MS,Mato Grosso do Sul,sul-mato-grossense
MG,Minas Gerais,mineiro
PA,Pará,paraense
PB,Paraíba,paraibano
PR,Paraná,paranaense
PE,Pernambuco,pernambucano
PI,Piauí,piauiense
RJ,Rio de Janeiro,fluminense
RN,Rio Grande do Norte,potiguar,norte-rio-grandense
RS,Rio Grande do Sul,gaúcho,sul-rio-grandense
RO,Rondônia,rondoniano,rondoniense
RR,Roraima,roraimense
SC,Santa Catarina,catarinense,barriga-verde
SP,São Paulo,paulista
SE,Sergipe,sergipano
TO,Tocantins,tocantinense